%WER = 25.35
Errors: 101 insertions, 717 deletions, 781 substitutions, over 6307 reference words (4809 correct)
Search below for sections starting with PER-UTT DETAILS:, SUBSTITUTIONS:, DELETIONS:, INSERTIONS:, PER-WORD STATS:

PER-UTT DETAILS: corr or (ref->hyp)  
1682990149.6027413-split_v1-483200-674250_11617-11617:	(rồi vầng->dạ)
1683790741.6726192_23696-23696:	a lô a lô chị an đúng không ạ
1683793799.6739042-split_v1-0-483210_3009-3009:	chị ơi em gọi cho mình (bên->*) bưu điện chị có cái đơn hàng mà sáng nay bưu tá gọi giao chị không được (ngày->em) mai chị nhận được hàng không
1683801443.6763412-split_v1-483200-1040010_631-631:	năm năm tám
1683859337.6785727_24074-24074:	đúng rồi (chỗ đấy->chưa đến) là bệnh viện (với cả->và) ngõ đủ các thứ ở đấy (trường->trên) đại học các thứ
1683860794.6791130-split_v1-0-540810_5272-5272:	(được->đâu) anh ạ thế anh có (biết->bưu điện) địa chỉ đấy nó ở đâu (không->ạ)
1683861078.6792399-split_v1-547200-1040010_1151-1151:	hôm nay thứ mấy nhở
1683875469.6822599_17985-17985:	hôm trước có một bạn bạn ấy gửi cho chị qua zalo tại vì bạn (*->ý) gọi chị đến lấy (nhưng->thì) chị (bận ý->bảo ét mình đâu)
1683878602.6834759-split_v1-499200-1027210_7249-7249:	bưu tá địa chỉ của anh là (thiếu bưu->chỉ ở khu) tá không tìm thấy (thì->nên) bưu tá gọi điện thì (vừa->*) mới a lô có chị có phải là chị (trịnh->chị) duyên không (cái->nói) là (chửi->thử) luôn
1683881452.6847951-split_v1-0-483210_15683-15683:	a lô
1683941222.6877033-split_v1-0-534410_14605-14605:	(chưa chưa chưa->rồi được rồi)
1683943198.6880776-split_v1-512000-930250_14294-14294:	(*->rồi) ok chị nhá (có gì->bởi vì) em ra bưu tá có (*->có) gì các chị sẽ gọi cho chị (chị->*) nhờ gửi ở đâu thì chị (báo->bảo) các bạn ấy giúp em nhá
1683947849.6893084_22145-22145:	(vầng dạ vầng->*) em chào chị
1683949540.6898213-split_v1-0-569610_8612-8612:	(thì->*) thứ hai nhận được không chị ơi
1683949540.6898213-split_v1-569600-749770_8615-8615:	đúng rồi
1683950076.6899842_18993-18993:	rồi xin lỗi chị (nha->nhá)
1683950318.6900725-split_v1-595200-1143690_11276-11276:	em báo (shop->suốt) rồi mà (shop lại->số người) gửi địa chỉ cũ
1683950937.6903227-split_v1-1094400-1466250_11171-11171:	chị gì
1683953601.6909038_18972-18972:	chị ơi nhưng em đang kiểm tra thông tin (ở->này) trên đấy là bên kia chưa hủy đâu nên sáng (nay->hay) bưu tá bên em không thể nào (cầm hàng đi->có màu) phát được
1683956705.6911176-split_v1-0-636810_1315-1315:	liên hệ á em vẫn gọi được cho khách hàng bên (bên->*) em bình thường mà có biết nhà người ta không chị
1683960134.6913396-split_v1-0-508810_9387-9387:	a lô
1683969357.6932586-split_v1-579200-1113610_5476-5476:	đúng rồi lâu chưa ạ
1683969638.6933122_19882-19882:	a lô ạ a lô bên chị có gửi hàng cho anh trường ý
1683970670.6935330-split_v1-3030400-3622410_917-917:	anh hiểu (không thế->à tên) là (lại vì là trong->gì cái) cái cá của em người ta (vào->dạ) người ta gắn nhầm cái cá rồi (rồi->*) vào túi đấy
1684059512.6963034-split_v1-595200-745930_4507-4507:	ok (ok->*) mai (vào lấy hộ chị vậy vâng->bạn lại vầng)
1684118590.6981146_24921-24921:	thế thì anh để sáng mai đi xong anh hẹn (với bưu->*) tá (nhớ->nhá chị) tầm chiều là phải sau hai giờ
1684123680.7000584_27834-27834:	(hai chín->địa chỉ) bảy năm một một hả chị
1684135758.7017922_28874-28874:	rồi (rồi->*) anh (hoàn->hoàng) về cho em (đi->*)
1684138650.7027014-split_v1-3168000-3820810_12104-12104:	đúng rồi bởi vì cái lượng đơn của anh thì ví dụ như nếu mà tầm độ mười chín đến hai mươi nghìn thì bọn em bắt buộc là phải năm trăm đơn một ngày thì bọn em mới có giá đấy
1684138650.7027014-split_v1-4316800-4932810_12109-12109:	vầng vầng (*->thế) em cảm ơn anh có gì thì
1684142680.7040619-split_v1-0-249930_3626-3626:	mới về (ạ->*) anh (lưu cho em đến->giunk) ba mươi chuyển hoàn nhá em tên trang (ạ->*)
1684142977.7041629-split_v1-0-598410_13117-13117:	(anh->*) ơi đơn này khách có đặt đấy ạ anh anh (anh->*) xem anh đợi em một chút để em liên hệ với khách được không ạ
1684202221.7062480_29103-29103:	vầng (chào->thưa) chị
1684202768.7064050-split_v1-480000-913290_2361-2361:	(thế->*) không phải địa (*->chỉ) này (đây->*) địa chỉ này địa chỉ (ma->mai) rồi
1684203248.7065265_18199-18199:	nhà số bốn đây khu (tập thể pin->biên thẻ viên) văn (điển đây->tiền đấy) đúng không (vầng vầng vầng->vâng vâng) em cám ơn có gì bưu tá sẽ liên hệ với anh nhá
1684204520.7068517-split_v1-0-414410_17041-17041:	(ờ->*) thế thì cho mang cái (vỏ->bỏ) cho (em->*)
1684204737.7068998-split_v1-508800-1043210_9218-9218:	rồi còn (một->*) số nữa (nha anh->rồi)
1684207251.7077977-split_v1-0-512010_7158-7158:	vầng chị ơi em ở bên bưu điện mà chị có (mua->*) một cái đơn hàng là hai trăm nghìn ý thì chiều chị nghe máy em cho bưu tá phát lại cho chị nhá
1684210327.7089431_24252-24252:	(chắc->*) là có em nghĩ là chắc (hay->hơi) có đơn khác (vì->thì) đơn này (kể cả->phải có) cho (dù->dùng) có thu cước thì nó cũng chỉ có hai mấy nghìn thôi
1684210553.7090105-split_v1-0-585610_9931-9931:	bây giờ chị giao đến số mười (phạm văn bạch giúp em với nhá->chả hoành đấy)
1684210553.7090105-split_v1-1129600-1670410_9944-9944:	(thì->thế) để chị vẫn phải chuyển sang bên cầu giấy kể cả hai địa chỉ này vẫn ở bên (cầu thuộc->phục) bên (*->công) cầu giấy không thuộc địa (phận vâng->nữa) bên chị giao hàng ý
1684211678.7092911_24204-24204:	chiều nay (anh->*) để ý (nghe->*) điện thoại chứ (*->bên) anh không (không->*) gọi (anh->hay) không nghe máy (chúng->cho) em không phát được đâu ạ
1684219089.7097419-split_v1-496000-982410_9533-9533:	vầng bọn em (văn->vẫn) phòng (giờ lại->ạ) chuyển về bên đấy ạ
1684222559.7104483-split_v1-1708800-2230410_14333-14333:	(cổng->vầng) chào (đường tàu trần->đưang sau sân) phú ấy
1684222559.7104483-split_v1-499200-992010_14317-14317:	(thì->*) em biết là xóm trần phú rồi
1684226589.7121365_20100-20100:	có đơn (mình->*) có đặt đơn (đấy->ấy) nhưng mà (nhưng mà->*) cân nhắc trước khi nhận bạn ơi bốn triệu ba cái giờ mà (mà->*) giao tiền cho bưu tá bên bưu điện rồi (*->bây giờ) mà anh không lấy lại (được->*) tiền đâu
1684231735.7138546_28235-28235:	bốn năm một (rồi->được) bao nhiêu (nữa->hả) không hai chín không hai chín hai chín năm hai chín năm (*->rồi) chị (ơi->*) chị (lưu->*) đấy (cho em->xem) vầng chị lưu ở (đấy thêm->đây nhưng) một tuần rồi có gì em phản hồi lại sau nhá em tên là gì nhở em tên là trang (ạ trang->*) rồi (ok->ô kê)
1684233116.7140746-split_v1-0-505610_4324-4324:	a lô ạ a lô em báo cái đơn hàng của anh nguyễn đăng tú ở liên quan thạch (thất->sp) ý
1684292806.7166725-split_v1-0-454090_999-999:	chị (linh->lên) ơi em (ở bên->hỏi là) bưu điện em gọi phát hộ chiếu của mình ý
1684294326.7171867-split_v1-0-319050_10836-10836:	em (tưởng chị->thử) gọi chị vân
1684296202.7178792-split_v1-0-473610_6609-6609:	(nếu như->đúng rồi) mình (không->còn) từ chối nhận thì để em xử lý
1684314159.7211530_29002-29002:	(alo->a lô)
1684315418.7215504-split_v1-0-314890_7252-7252:	vầng vầng vầng bưu điện (hà nội->*)
1684375854.7237063_25288-25288:	chào anh ạ
1684376067.7237857_28521-28521:	(dạ->*) vầng các bạn (có->cứ) phát trực tiếp cho anh không ạ
1684380903.7252693-split_v1-0-483210_16772-16772:	(chị->trợ) lưu (dùm->giùm) em ba ngày đi (rồi->giờ) em gọi cho khách (em->*) xem (*->nào)
1684382383.7257032-split_v1-0-647370_5910-5910:	dạ vầng chị đợi em một chút ạ
1684390643.7264079_22658-22658:	chị có phải chị hân không ạ đúng (không->*) ạ vầng chị có một cái (chuyện khác với->chuyển phát của) bên bảo hiểm (gửi cho->rồi) chị thì chuyển về địa chỉ nào chị nhở
1684392222.7266252-split_v1-0-505610_17231-17231:	(*->rồi) cứ bóc ra (rồi->để) gửi cho anh cái xem cái (là được->rồi)
1684392222.7266252-split_v1-0-505610_17234-17234:	có phải anh là anh quang (không->*)
1684396816.7279001-split_v1-0-483210_11472-11472:	a lô ạ (à vầng->*) chị ơi chị có một cái đơn hàng gửi cho khách
1684398362.7284652-split_v1-502400-780490_2914-2914:	(thế->*) em (trả về->giả phải) ngân hàng nhá rồi em cảm ơn
1684398716.7286200_25081-25081:	(lô ạ->rồi)
1684399281.7288448_17816-17816:	em nghe không rõ (lắm->*) chị có nhu cầu nhận không chị dạ (không->hông) ạ (à->*) rồi em cảm ơn chị dạ
1684400718.7294632_18847-18847:	(phan thái->văn hải) ạ ở phan thái (*->ở) đường lâm sơn tây
1684403079.7302833-split_v1-0-643210_14569-14569:	anh có ở đấy đâu
1684403815.7304891-split_v1-0-480010_8740-8740:	(bạn ơi mình ở bên->bênh) shop (kim lý->khi mình ý) ạ dạ
1684405975.7308895_20828-20828:	tên (lâm đi->là gì) cho anh
1684407297.7311014-split_v1-1104000-1801610_7526-7526:	thế thì (*->qua) tức là (con này->qua lại) chuyển hoàn về cho chị chứ gì
1684455525.7317755_26053-26053:	nếu mà bây giờ mà gửi về (thì là->từ) phải ra trường (trường->*) mầm non (trẻ em thông minh ở đồng sậy hộ->hiệu sợ) chị (nhớ->nhá)
1684459711.7321772-split_v1-483200-995210_7021-7021:	(đọc cho em->nó xem) cái cái số điện thoại khách hàng (đi->ý) tại vì nhà em không có mã đấy
1684462488.7327511-split_v1-0-531210_16822-16822:	a lô (em->anh) bên bưu điện (mình có->một) thư chuyển phát nhanh ý chiều nhận được không ạ
1684463940.7333254-split_v1-508800-1046410_10011-10011:	sáng nay (chuyển tiếp->chị biết) rồi
1684470328.7356544-split_v1-496000-998410_7192-7192:	không chín bảy hai đúng không ạ vầng (*->ok) tám năm (năm->lăm)
1684479506.7365713-split_v1-598400-1002250_4816-4816:	anh ơi cái này anh báo với cả ngân hàng luôn địa chỉ mới của anh (đi->đây) nhá để ngân hàng đồng ý thì chúng em mới chuyển (được đến->ở bên) đấy anh nhá
1684485864.7389753_20728-20728:	a lô ạ em chào anh em ở bưu điện gọi đến ạ
1684491294.7407590-split_v1-0-841610_10954-10954:	(em->thẻ) ở (bưu cục phát đây chị ơi->đâu)
1684498215.7416778_27911-27911:	a lô
1684565752.7448042-split_v1-0-652810_131-131:	đức (béo->báo) đức (béo->*)
1684567380.7449454_18074-18074:	(à->*) vâng (em cám->cảm) ơn ạ
1684568964.7452916-split_v1-1212800-2057610_6057-6057:	(ừ->*) tại vì mình thấy cũng (lạ->là) tại vì là đã đẩy sang (là phải có người lấy mình là ngày nào cũng->thẻ này) rất là nhiều đơn thì là bên bưu điện này (thì->chị) ít thôi (thế->thì) nhưng mà cứ (đẩy->để) sang (thành->thanh) hóa mình cũng phải đi gửi rất là (mất->mắc) thời gian ý thì hôm (nay->hai) tự nhiên có cái bạn ý bạn (ấy->*) gọi đến thôi bạn ý bảo là nếu mà không có người (lấy->ấy) thì là để bạn ý điều phối về cho có người (lấy->này) ý
1684570349.7456887-split_v1-0-480010_10148-10148:	(à->*) thế thì sang tuần nhá
1684571292.7459327-split_v1-0-505610_11041-11041:	(thẻ ngân->thế) hàng vpbank (ấy ạ->*)
1684573409.7465829-split_v1-0-601610_2870-2870:	(xuân ổ a->phân à)
1684575795.7470542-split_v1-2294400-2678410_10419-10419:	(thôi->thế) tắt máy đi chị gọi (zalo->*) xem nào (cúp cúp->cước cúc) máy (chị->thì) xem nào
1684575795.7470542-split_v1-2294400-2678410_10423-10423:	(chắc là->ở) do máy điện thoại (ấy nhở em->à) ra ngoài rồi mà vẫn
1684719114.7503695-split_v1-556800-1043210_10995-10995:	em mang (ra mãi bực->bưu) cục ở đức diễn (ấy->*) ạ
1684723368.7514644_27152-27152:	(*->ok) của chị hiền á
1684724287.7517333_20779-20779:	(dạ đúng rồi->*) mình (ở->có) bưu điện ạ bạn có cái đơn hàng ở (chỗ->chợ) đặng lương (ở->của) hà đông hà nội bưu tá đến phát thì người ta xem hàng không lấy mình liên hệ lại thì không thấy nghe máy đâu
1684725517.7522299_24401-24401:	có cái thư của đại học (quốc gia->cấp ba) gửi cho em (này->cái) địa chỉ em nhận ở đâu đấy
1684726207.7524946_21998-21998:	em cứ lưu (tại->lại) bưu cục (nhá->nha) có gì (bảo->báo) khách ra bưu điện (lấy->ấy) cho (em nhá dạ rồi rồi ô kê->anh nhờ)
1684729100.7535285-split_v1-0-423050_12770-12770:	(chị->chỉ) có em ơi
1684730899.7540159_25498-25498:	a lô
1684736990.7544582-split_v1-1116800-1660810_9732-9732:	(giang văn minh ở cái->dạ vâng mình hiểu về) chỗ (đấy->lấy) thì họ lại đóng cửa rồi (nếu->nó) không (chị ra giúp->trị giao cho) em hai trăm bốn tám kim mã giúp em nhá
1684739886.7549310-split_v1-0-518410_10083-10083:	sáng nay hả
1684741769.7555513-split_v1-0-433930_6481-6481:	dạ (hông->không) chị
1684743332.7561300-split_v1-0-502410_1266-1266:	(xe->*) nhà mình (hả chú->ở trú)
1684746777.7575684_21797-21797:	chị ơi chị (hoàn->hoãn) cái đơn đấy về cho em với
1684746951.7576285-split_v1-0-505610_1456-1456:	(và vũ trung kiệt và->của bưu) anh giải trình (vào->và) giúp em với
1684746951.7576285-split_v1-505600-1030410_1475-1475:	mới nhận được báo cáo (đi làm hoặc đề nghị->y rằng)
1684756586.7592580_26332-26332:	(đúng->*) rồi
1684799651.7594636_24659-24659:	nhiều người bảo (thấm rồi->thắm thôi) ra rồi thì tôi không lấy (nên->*) cháu phải gọi trước vì nó là dính
1684809033.7607762_27572-27572:	(alo->a lô) ạ
1684810267.7611903-split_v1-1228800-1471050_7943-7943:	(vậy chắc là->về cháu nó) em gọi (số bưu tá không giao được thôi->tú xá hôm qua kho) chị (cứ->*) gọi lại giúp em một một (một->*) cái (có thể được->thế đưa) không (nào->*)
1684812110.7619722_22572-22572:	thế hả (anh dạ->*) thế á (thế á vâng cho em hướng xử lý vâng ô->vầng che ứng) kê (ô kê em->*) hiểu rồi thế thì chuyển hoàn về cho em đi chị (tên->đơn) là chị chi luôn à vâng (ô kê anh ô kê để em chuyển hoàn hoàn về cho chi giúp em nhá vâng ạ->kem)
1684824342.7641586_18078-18078:	bốn số cuối là ba (ba->*) một một (dạ vầng->*)
1684826137.7644139-split_v1-0-588810_8796-8796:	vầng em bảo em đang có cái hồ sơ ấy (*->rồi) mà cái hồ sơ (mà->và) có (đuôi->vui) là hai không tám bảy sáu ấy
1684829980.7656066_23143-23143:	vâng (không->xong) em vừa sửa em vừa báo (lên->đơn) bên bên (bên bên->*) bưu cục (phạm à bên->bin) cục (gửi của->*) bên em đây rồi bên em (sửa code->sự cố) lại với lại (ấy->máy) mà (là->la) sửa (*->ba) thành (còn->con) bao nhiêu
1684830657.7658078-split_v1-729600-896650_13359-13359:	mai chị có nhà nhớ
1684833761.7669683_25380-25380:	(lưu->*) cho em (bảy->bẩy) ngày nhá (em tên->bên) là huyền (ạ vầng ạ->dạ)
1684835176.7672808_26616-26616:	mai có nhà (nhận->nhà) hàng không (ạ->à) mai (á->*)
1684837062.7676216-split_v1-0-483210_5853-5853:	em bên bưu điện mà em thấy anh có cái đơn hai trăm ba mươi nghìn ý
1684895193.7692852_25916-25916:	(hơn->bốn) tháng rồi mà tự nhiên lại (thấy thế->*)
1684901563.7712889-split_v1-0-441930_3487-3487:	gửi cái (ảnh->này)
1684913741.7727570_23835-23835:	(a lô->*)
1684913971.7728382_25722-25722:	cái này là có mất phí không chị nhở dạ không cái này (khi->thì) anh sử dụng thì nó mất (phí->chi) phí thôi ạ
1684918122.7745371_29110-29110:	(alo->a lô) ạ
1684918633.7747316_20784-20784:	dạ vâng đúng rồi (chị ơi->*)
1684920850.7753641-split_v1-1529600-2051209_8708-8708:	(em là ở chỗ năm->*) mốt (vũ trọng phụng->bưu cục) ạ (thế->về) tối (anh đến lấy được->cái đấy đúng) không
1684924494.7760716-split_v1-518400-973450_11612-11612:	(chị->thì) hỏi luôn là bà có tiền chưa
1684983069.7782775-split_v1-1011200-1187210_1287-1287:	(thế thôi->thấy) thế (thế thế->đây) về (*->giá) nhá
1685000558.7815049_24399-24399:	(mười->bốn mươi) chín nguyễn cơ (thạch->hải) ạ anh cần (gấp->gốc) thì anh (ra hộ->giao) em
1685017138.7851580-split_v1-1209600-1878410_10489-10489:	không biết là ngày mai trong giờ hành chính (*->thì) mình có tại địa chỉ (bẩy chín->để chính) ngọc hồi không ạ
1685062015.7855629_18969-18969:	(*->a) lô
1685067328.7863548_27338-27338:	số điện thoại là không chín bảy bốn rồi hai bốn sáu tám hai tám
1685088466.7909972-split_v1-1555200-2140810_7294-7294:	chị chị (thử->*) hỏi giúp em xem là tầm khoảng ngày mười bảy mười tám (bên->đi) chị có nhận được cái thư nào không nhá vầng đợi em tí tại vì (nếu->dưới mét) mà (sava thì bọn->sau qua để bên) em lại không có khách hàng nào (tên sava cả->tênh)
1685088466.7909972-split_v1-2140800-2557130_7295-7295:	vầng em ở số không chín một sáu ạ dạ rồi ạ một sáu sáu rồi ạ
1685090622.7918577-split_v1-572800-1068810_1671-1671:	về lâu chưa ạ
1685094356.7931090-split_v1-604800-1184010_6828-6828:	ngõ hai bẩy sáu
1685157321.7960973-split_v1-508800-763210_13293-13293:	(nhà tuyến mai->tiến ơn) rồi để (mai họ phát cho nhá->maild)
1685158959.7966189-split_v1-3280000-3807050_2679-2679:	vầng sáng mai mà mang vào em kiểm tra được (thì em->xem) lấy không thì thì (là giả lại->*)
1685159674.7967923-split_v1-0-601610_13270-13270:	(dạ->nói) đúng ạ (*->của) anh bên bưu điện (ý->nhưng) mà em có cái thư bên đại học quốc gia hà nội trung tâm khảo (thí họ->thế nọ) gửi cho em (ấy->*)
1685180881.8002903-split_v1-0-528010_2394-2394:	(ờ ai đấy->a lô)
1685326780.8038293-split_v1-588800-1177610_9878-9878:	dạ số hiệu là e (y->*) ạ (i ngắn hay y dài em->*)
1685327053.8039172_23745-23745:	a lô ạ dạ rồi anh ơi (*->cho) em bên bưu điện ý bên mình có đặt cái đơn (quả địa cầu ấy thì không biết hôm nay có ai gọi->quản lý cấu hình) cho anh giao hàng (chưa ạ->*)
1685333637.8061435-split_v1-1616000-2233610_13535-13535:	chứ không phải là chính chủ hay là không chính chủ anh ạ nếu như mình sử dụng (phiếu->trường) số hai (thì->*) mình bắt buộc phải có chứng thực (một cái tờ->*) chứng (thực->từ) chữ ký ở bên phường cấp
1685335198.8065982_19003-19003:	rồi ok (em->*)
1685345748.8078493_20109-20109:	(chị->*) lưu cho em năm ngày em gọi lại cho khách nhá em tên loan dạ (vâng->vầng) chào chị
1685347445.8085277_22124-22124:	rồi mười chín tháng năm đúng không mấy giờ khoảng mấy giờ mười giờ mười giờ chị nhá (ô kê->*) em (cám->cảm) ơn em (yêu->bưu)
1685412643.8131724-split_v1-0-441290_16243-16243:	số (điện thoại->đơn hàng) người nhận (là->nó) không bảy bảy bốn
1685412646.8131745-split_v1-508800-1014410_551-551:	bưu tá người ta bảo là bây giờ hợp tác xã tôi không biết phát (cho ai->*) làm gì còn hợp tác xã
1685412969.8132440_20369-20369:	(vâng có có->vầng) chị chị (chị->*) cứ bảo bạn ý gọi điện vào cho em nhá
1685414613.8138360_28166-28166:	(alo->a lô)
1685417060.8146229-split_v1-0-646410_14371-14371:	(quạt->*) toàn (quạt to->có) mà
1685419733.8155093-split_v1-0-422730_16149-16149:	a lô
1685419742.8155128_25416-25416:	anh anh có phải (bạch->bật) thị (luân->luôn) là người nhà mình đúng không ạ
1685421486.8159969_26428-26428:	(alo->a lô)
1685431103.8167759_18921-18921:	vầng vầng (vầng->*) bưu điện (hà nội->*) xin (cảm ơn và->lỗi về)
